trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
135,0,135,0,5,284.9923498999997,284.9923498999997,0.017898400001286063,[0.10277777777777777],[0.23796296296296296],[1],[0],[0],[1.7633141000042087],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
136,0,136,0,10,286.7917546999961,286.7917546999961,0.030811199998424854,[0.0787037037037037],[-0.287962962962963],[1],[0],[0],[2.2638016999990214],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
137,0,137,0,5,289.0739067999966,289.0739067999966,0.016782800004875753,[0.19537037037037036],[0.4],[1],[0],[0],[2.296685500004969],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
138,0,138,0,5,291.38984450000135,291.38984450000135,0.016533000001800247,[0.15648148148148147],[0.10277777777777777],[1],[0],[0],[1.565195199997106],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
139,0,139,0,10,292.9890355000025,292.9890355000025,0.029124000000592787,[-0.1712962962962963],[-0.45092592592592595],[1],[0],[0],[2.0328595000028145],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
140,0,140,0,10,295.0563407000009,295.0563407000009,0.030963399993197527,[-0.47962962962962963],[0.2962962962962963],[1],[0],[0],[1.7832817000016803],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
141,0,141,0,5,296.85796670000127,296.85796670000127,0.017310399998677894,[0.18425925925925926],[0.14537037037037037],[1],[0],[0],[1.5125394999995478],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
142,0,142,0,5,298.3884764999966,298.3884764999966,0.014744000000064261,[0.4287037037037037],[0.15092592592592594],[1],[0],[0],[1.9651712000049883],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
143,0,143,0,5,300.3737074000019,300.3737074000019,0.01659079999808455,[-0.11203703703703703],[-0.005555555555555556],[1],[0],[0],[2.030931599998439],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
144,0,144,0,10,302.4399917999981,302.4399917999981,0.030818899998848792,[0.40555555555555556],[-0.2037037037037037],[1],[0],[0],[2.1158760000034817],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
145,0,145,0,10,304.5903294000018,304.5903294000018,0.03093549999903189,[-0.17685185185185184],[0.30277777777777776],[1],[0],[0],[1.8821566999977222],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
146,0,146,0,5,306.49023280000256,306.49023280000256,0.016749200003687292,[-0.03796296296296296],[0.33611111111111114],[1],[0],[0],[2.1298673000055715],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
147,0,147,0,10,308.6562096999987,308.6562096999987,0.031024399999296293,[-0.29259259259259257],[0.32685185185185184],[1],[0],[0],[1.9000140999996802],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
148,0,148,0,10,310.58777700000064,310.58777700000064,0.028627899999264628,[-0.4537037037037037],[0.3296296296296296],[1],[0],[0],[2.3840417000028538],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
149,0,149,0,5,312.98981410000124,312.98981410000124,0.01618169999710517,[0.06574074074074074],[0.4759259259259259],[1],[0],[0],[2.729897900004289],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
